Model,Fold,MSE,RMSE,R2 Score,Iteration
LGBMRegressor,1,1.5349067688591294,1.238913543738678,0.7076368059315944,1
LGBMRegressor,2,1.604846044675357,1.266825183154865,0.6943150391094558,1
LGBMRegressor,3,1.636077240415192,1.2790923502293303,0.6883662399209158,1
LGBMRegressor,4,1.5775963569620235,1.256024027223215,0.6995054558167575,1
LGBMRegressor,5,1.537464900734557,1.239945523293083,0.7071495427172272,1
LGBMRegressor,1,1.546823568210604,1.2437136198541061,0.7053669393884564,2
LGBMRegressor,2,1.6223964703877356,1.2737332807097943,0.6909721008785266,2
LGBMRegressor,3,1.592257168438107,1.261846729376475,0.6967129202975034,2
LGBMRegressor,4,1.5476766051309034,1.2440565120326743,0.7052044561655422,2
LGBMRegressor,5,1.5279753195951529,1.2361129881993607,0.7089570819818757,2
LGBMRegressor,1,1.5497190312306184,1.2448771149115958,0.7048154226227393,3
LGBMRegressor,2,1.6414861606382367,1.2812049643356198,0.6873359694022406,3
LGBMRegressor,3,1.5864392867650188,1.259539315291515,0.6978210882352345,3
LGBMRegressor,4,1.5517917217551243,1.24570932474439,0.7044206244275955,3
LGBMRegressor,5,1.543161355587671,1.2422404580384874,0.7060645036975864,3
LGBMRegressor,1,1.5262404077533773,1.2354110278580879,0.709287541380309,4
LGBMRegressor,2,1.6694949192309623,1.2920893619370768,0.682000967765531,4
LGBMRegressor,3,1.5974071389499795,1.2638857301789508,0.6957319735333372,4
LGBMRegressor,4,1.5729632243185125,1.2541783064295573,0.7003879572726643,4
LGBMRegressor,5,1.555436456244728,1.247171382066125,0.7037263892867185,4
LGBMRegressor,1,1.5158439500580858,1.2311961460539445,0.7112678190365551,5
LGBMRegressor,2,1.6058096210200767,1.2672054375751696,0.6941315007580806,5
LGBMRegressor,3,1.5485565146808649,1.2444101071113434,0.705036854346502,5
LGBMRegressor,4,1.4975916480138989,1.223761270842438,0.7147444479973526,5
LGBMRegressor,5,1.5453415408033286,1.243117669733372,0.7056492303231755,5
