Model,Fold,MSE,RMSE,R2 Score,Iteration
RandomForestRegressor,1,1.859583962264151,1.3636656343342202,0.6457935309973046,1
RandomForestRegressor,2,2.0667224842767298,1.4376099903230812,0.60633857442348,1
RandomForestRegressor,3,1.9314448899371068,1.3897643289195138,0.6321057352500749,1
RandomForestRegressor,4,1.8552743710691828,1.362084568251613,0.6466144055106318,1
RandomForestRegressor,5,1.9223842767295596,1.386500730879562,0.6338315663372267,1
RandomForestRegressor,1,1.8898056603773585,1.3747020260323175,0.6400370170709793,2
RandomForestRegressor,2,2.044485927672956,1.4298552121361645,0.610574109014675,2
RandomForestRegressor,3,1.9126096698113209,1.3829713192294772,0.6356933962264151,2
RandomForestRegressor,4,1.8069882861635223,1.3442426440801238,0.6558117550164719,2
RandomForestRegressor,5,1.9113739779874217,1.3825244945343362,0.635928766097634,2
RandomForestRegressor,1,1.831543474842767,1.3533452903242273,0.6511345762204253,3
RandomForestRegressor,2,2.0642864779874217,1.4367624988102319,0.6068025756214435,3
RandomForestRegressor,3,1.8826627358490569,1.3721015763598032,0.6413975741239892,3
RandomForestRegressor,4,1.8159318396226418,1.3475651522737748,0.6541082210242587,3
RandomForestRegressor,5,1.9135350628930816,1.3833058457525154,0.6355171308775083,3
RandomForestRegressor,1,1.8637208333333333,1.3651816118499887,0.6450055555555556,4
RandomForestRegressor,2,2.1031549528301885,1.4502258282178637,0.5993990566037736,4
RandomForestRegressor,3,1.907515644654088,1.3811283954267568,0.6366636867325547,4
RandomForestRegressor,4,1.8705099056603773,1.367665860384172,0.643712398921833,4
RandomForestRegressor,5,1.893314858490566,1.375977782702383,0.6393685983827493,4
RandomForestRegressor,1,1.8425690251572329,1.357412621555153,0.6490344713986222,5
RandomForestRegressor,2,2.05280786163522,1.4327623186122742,0.6089889787361485,5
RandomForestRegressor,3,1.9060426100628933,1.380595020294834,0.636944264749925,5
RandomForestRegressor,4,1.8399332547169813,1.356441393764206,0.6495365229110512,5
RandomForestRegressor,5,1.9210286949685533,1.386011794671515,0.6340897723869422,5
