Model,Fold,MSE,RMSE,R2 Score,Iteration
SVR,1,1.2877912889073613,1.1348089217605584,0.7547064211605026,1
SVR,2,1.458132575339632,1.2075316042819053,0.7222604618400701,1
SVR,3,1.3016844054560601,1.1409138466405166,0.7520601132464647,1
SVR,4,1.2829005740169228,1.1326520092318395,0.7556379859015385,1
SVR,5,1.3039576856861819,1.1419096661672419,0.7516271074883463,1
SVR,1,1.2823236018919486,1.132397280945141,0.7557478853539146,2
SVR,2,1.4617600308065466,1.2090326839281669,0.7215695179416102,2
SVR,3,1.2999250928818709,1.140142575681599,0.7523952204034532,2
SVR,4,1.286030559047681,1.134032873883152,0.7550417982766322,2
SVR,5,1.3081187956172289,1.1437302110275958,0.7508345151205278,2
SVR,1,1.2844430304265664,1.133332709501745,0.755344184680654,3
SVR,2,1.4548063174575243,1.2061535215127153,0.7228940347699954,3
SVR,3,1.2981851053930358,1.1393792631924788,0.7527266465918028,3
SVR,4,1.284286647433621,1.1332637148667652,0.7553739719174055,3
SVR,5,1.3015477873185155,1.1408539728284752,0.7520861357488542,3
SVR,1,1.286688085286154,1.1343227429996077,0.7549165551835897,4
SVR,2,1.4591163485648773,1.2079388844494068,0.7220730764638329,4
SVR,3,1.2986500929016442,1.1395832979215008,0.752638077542544,4
SVR,4,1.286403579765214,1.1341973284068403,0.7549707467113878,4
SVR,5,1.3057329669090663,1.1426867317463112,0.7512889586839874,4
SVR,1,1.2832563083551116,1.1328090343721273,0.7555702269799787,5
SVR,2,1.4566507611174155,1.2069178767080284,0.7225427121681114,5
SVR,3,1.3047687406115138,1.142264741910348,0.7514726208359022,5
SVR,4,1.2867853922769537,1.1343656342982864,0.7548980205186755,5
SVR,5,1.3018082461667755,1.1409681179449211,0.7520365245396619,5
